id,edition,price,title,year,author_id,publisher_id
62,5,294.5,mauris vulputate elementum nullam,1990,199,107
63,5,589.63,justo maecenas,2015,188,197
64,5,789.51,penatibus et magnis dis,2001,21,124
65,7,311.99,nisl,1995,20,195
66,2,324.25,justo eu massa,2015,14,68
67,5,186.53,morbi vel lectus,2008,185,90
68,6,590.03,lacus at turpis,2021,85,169
69,3,590.55,varius integer,2007,170,3
70,7,364.56,augue vestibulum rutrum rutrum,2022,109,106
71,7,306.61,ultrices enim,1997,34,140
72,2,667.85,risus semper porta,2021,166,161
73,7,521.88,vivamus tortor duis mattis egestas,2021,52,126
74,7,668.77,integer non velit,1993,150,4
75,2,154.96,habitasse platea dictumst etiam faucibus,2021,89,167
76,5,418.77,lacus morbi quis tortor id,1997,29,23
77,4,610.36,donec,2006,25,55
78,1,737.9,eleifend luctus ultricies eu nibh,1990,69,113
79,5,729.15,rutrum rutrum neque aenean auctor,2002,8,181
80,1,544.76,nullam porttitor lacus,2013,184,116
81,7,298.21,risus semper porta volutpat quam,2015,2,120
82,4,752.46,odio,2002,132,146
83,4,532.99,proin at turpis,2017,90,100
84,5,767.03,in leo maecenas,1996,36,179
85,3,729.38,amet sem fusce consequat nulla,1992,128,17
86,5,210.16,vulputate justo in blandit,2005,191,120
87,1,495.81,metus vitae,2021,30,68
88,2,253.83,nulla mollis molestie,2015,122,98
89,4,647.25,magnis dis parturient,2004,110,195
90,2,372.4,curae,2000,94,94
91,1,490.4,ipsum dolor,2001,153,151
92,3,698.18,est,2007,58,55
93,5,304.63,nisi nam ultrices libero,2001,74,6
94,4,589.3,sit amet,2014,93,141
95,5,286.98,elementum eu interdum eu,2001,155,7
96,5,504.28,non,2017,165,76
97,3,164.35,curae donec pharetra magna,1990,33,135
98,3,559.87,tortor,2016,129,142
99,1,578.24,potenti in eleifend quam,2019,175,21
100,5,176.76,morbi,2011,37,31
101,1,152.84,non lectus aliquam sit,2001,83,149
102,4,546.77,feugiat non pretium quis lectus,2014,73,12
103,5,378.31,viverra eget,2013,79,86
104,6,712.17,nulla,2006,150,29
105,2,455.02,sed interdum venenatis turpis,1997,108,129
106,1,326.09,ridiculus mus,2007,30,25
107,6,138.54,vulputate vitae,2018,124,191
108,6,118.84,ridiculus mus vivamus vestibulum sagittis,2004,162,98
109,1,295.19,sit amet nunc,2010,37,187
110,4,146.45,rhoncus aliquam lacus morbi,1991,84,138
111,6,132.69,ultrices libero non mattis,1998,3,84
112,6,444.47,lacus morbi sem,2002,167,10
113,2,625.01,orci vehicula,1996,20,123
114,5,458.01,amet consectetuer adipiscing elit proin,2020,68,54
115,3,432.13,cras non velit nec,2017,87,180
116,7,335.22,rhoncus sed vestibulum sit,2011,192,196
117,1,732.63,at,1995,124,186
118,1,114.54,id nisl,1990,157,1
119,1,401.49,fusce consequat,1997,60,97
120,5,126.04,vel enim sit amet nunc,2017,109,48
121,3,542.52,dapibus at diam nam,1993,198,169
122,4,733.07,platea dictumst aliquam augue,2021,50,14
123,2,199.63,ut mauris eget,1998,14,45
124,6,539.82,turpis a pede posuere,1993,101,136
125,2,594.93,quam a odio,2003,37,95
126,5,208.37,maecenas leo odio condimentum id,2008,155,147
127,3,483.48,maecenas pulvinar,2002,131,155
128,2,537.66,nullam porttitor lacus,2020,102,121
129,7,596.4,non quam nec,2000,68,176
130,1,139.58,tincidunt in leo maecenas pulvinar,1995,150,136
131,3,555.82,sed vel enim,2007,14,72
132,3,703.46,libero nullam sit amet,2009,35,70
133,2,343.99,erat quisque erat,2010,167,107
134,5,462.23,ipsum,2022,67,178
135,4,356.64,varius ut blandit,2001,134,161
136,7,535.74,rhoncus sed,2020,71,147
137,4,532.03,quis,2009,128,139
138,4,215.48,placerat praesent blandit nam,2012,2,51
139,4,510.24,mauris laoreet ut rhoncus,2013,33,96
140,5,460.82,facilisi cras non,2012,149,36
141,4,268.53,a pede posuere nonummy integer,1998,186,34
142,2,470.59,orci,2010,81,60
143,5,614.91,velit donec diam neque vestibulum,2006,72,42
144,1,232.33,nunc,2014,40,159
145,3,159.23,turpis donec posuere,2011,16,146
146,3,416.6,quisque arcu libero,2007,33,142
147,4,173.33,cubilia curae mauris,1999,63,130
148,6,658.21,luctus et ultrices posuere,2022,99,119
149,2,423.19,nunc viverra dapibus,2021,123,33
150,4,668.62,venenatis turpis,2021,192,26
151,2,169.25,lobortis ligula sit amet,2009,158,114
152,2,565.12,nulla dapibus dolor,2013,17,170
153,3,286.29,eget nunc donec quis,2019,161,51
154,3,627.62,donec ut,2003,91,5
155,2,612.16,vestibulum,1994,68,168
156,7,498.37,natoque,2019,37,18
157,1,590.15,sollicitudin vitae,2018,102,155
158,7,563.66,cursus urna ut tellus nulla,2008,169,87
159,1,727.7,curae donec pharetra magna,2001,172,53
160,6,757.79,interdum in ante vestibulum ante,2018,180,144
161,6,255.67,nascetur ridiculus mus,2010,36,146
162,3,427.54,sem fusce consequat nulla nisl,2000,151,50
163,4,749.01,ligula sit amet eleifend,2016,29,184
164,4,310.43,nullam sit amet turpis elementum,2008,56,55
165,3,300.45,volutpat quam pede lobortis ligula,1995,166,119
166,2,336.65,in hac habitasse platea,2021,141,164
167,2,305.07,ante,2006,37,143
168,6,150.19,sit amet consectetuer adipiscing elit,2008,131,78
169,3,664.61,justo morbi,2015,108,68
170,7,449.8,sed,2014,161,59
171,1,473.57,sapien ut nunc vestibulum,2014,17,66
172,5,747.99,gravida sem,2010,57,159
173,1,780.33,eget,2016,194,105
174,6,448.51,pellentesque ultrices phasellus id,2003,191,138
175,4,459.58,sapien ut nunc vestibulum,1995,92,134
176,1,446.03,odio elementum,2020,126,102
177,7,219.2,duis consequat dui nec nisi,1994,176,13
178,5,693.93,at nulla suspendisse,2001,73,65
179,4,632.47,in eleifend quam a,2012,121,156
180,7,126.31,diam,2014,150,1
181,4,380.75,proin eu,1992,86,74
182,4,351.92,a odio,2005,107,24
183,5,196.51,vitae ipsum,2021,12,14
184,3,181.29,in hac habitasse platea dictumst,1997,185,168
185,5,250.33,pellentesque quisque porta volutpat erat,2016,63,180
186,5,404.19,ut,2021,4,166
187,7,413.82,amet eros,2006,108,78
188,7,587.02,nam congue,1996,165,183
189,6,327.86,bibendum imperdiet,2014,85,18
190,7,465.41,erat volutpat in congue,2001,193,45
191,4,488.79,etiam faucibus cursus urna,1995,72,104
192,7,582.72,nulla pede,1993,45,69
193,2,158.38,dictumst,2008,35,13
194,1,160.76,arcu,2005,58,9
195,3,412.24,vitae consectetuer eget rutrum,2006,87,89
196,6,263.9,tortor,2002,168,89
197,1,547.27,erat vestibulum sed,1998,192,9
198,6,370.31,feugiat et,2001,118,123
199,4,722.51,lectus in est risus,1998,180,195
200,3,192.34,volutpat,2014,68,33
201,5,582.2,morbi odio,2017,191,31
202,6,331.95,bibendum felis sed,2011,175,125
203,2,790.86,commodo vulputate justo,1998,118,6
204,7,312.3,nunc,2013,157,197
205,6,231.35,pellentesque ultrices mattis odio,2010,152,160
206,7,528.74,viverra,2021,149,91
207,5,304.71,cubilia curae duis,2002,70,43
208,4,583.75,ligula suspendisse ornare consequat,2015,16,81
209,5,787.49,id pretium,1993,22,104
210,6,578.88,habitasse platea dictumst etiam,1997,69,98
211,2,518.55,cursus vestibulum proin eu mi,1998,197,179
212,2,543.9,et magnis dis parturient montes,1996,54,83
213,5,358.11,purus sit,2016,91,25
214,5,182.91,etiam,2005,42,41
215,5,777.96,odio justo sollicitudin ut,1993,144,82
216,2,480.59,vulputate justo in blandit,1991,8,184
217,5,347.4,duis bibendum morbi,2007,2,122
218,3,690.5,mauris morbi non,2012,170,180
219,6,419.32,semper porta volutpat quam pede,2022,109,95
220,5,518.69,id ligula suspendisse ornare,2015,95,67
221,6,204.3,diam nam tristique tortor eu,2012,149,148
222,3,356.11,nec dui,1999,85,66
223,7,257.33,donec dapibus duis at velit,2017,30,108
224,6,286.7,neque vestibulum,2009,103,128
225,7,681.99,ac leo pellentesque ultrices,2017,71,40
226,3,714.73,odio,2014,166,166
227,3,573.4,habitasse platea,2020,67,171
228,6,498.62,lacinia eget,1992,1,157
229,1,665.64,libero nam dui proin leo,1990,13,46
230,3,773.23,suspendisse accumsan tortor quis,2010,4,33
231,6,409.55,orci eget orci vehicula,2007,194,22
232,1,389.71,aliquet maecenas leo odio condimentum,2003,112,19
233,7,729.38,quis augue luctus tincidunt,2015,142,48
234,7,684.56,consequat nulla nisl nunc,2019,96,6
235,4,433.95,in leo,1993,50,174
236,3,593.36,enim lorem,1997,110,3
237,1,518.18,rutrum nulla tellus in,2000,43,196
238,2,137.18,ridiculus,2016,184,114
239,6,301.4,pellentesque viverra pede ac diam,1990,123,4
240,1,522.83,vestibulum ante ipsum primis,2010,44,5
241,7,713.09,est lacinia nisi,1992,98,152
242,2,542.63,leo,2007,162,20
243,1,426.65,eget rutrum at lorem,2017,79,107
244,3,284.7,purus aliquet at,2000,82,51
245,1,468.17,neque,2010,162,71
246,1,515.01,cras non velit nec,2017,36,151
247,7,120.35,integer ac neque duis bibendum,1990,132,20
248,5,222.41,penatibus et magnis dis,2007,134,160
249,5,569.01,eleifend luctus ultricies eu nibh,2007,191,34
250,3,475.42,maecenas tristique,2003,2,102
251,6,421.12,nam,2000,167,51
252,3,616.83,lacus morbi sem mauris laoreet,2012,127,55
253,6,462.09,duis ac nibh,1998,4,6
254,5,410.21,nullam,2002,55,56
255,4,690.92,dapibus duis at velit,2014,131,21
256,3,361.8,at lorem,1995,183,87
257,4,698.62,scelerisque,2014,94,172
258,4,198.29,imperdiet nullam,2013,184,83
259,2,778.48,a feugiat et eros vestibulum,1991,13,190
260,1,154.99,nisi eu orci mauris lacinia,2000,196,59
261,2,245.7,lobortis sapien sapien non,2005,179,69
262,6,483.5,libero ut massa,2011,170,153
263,3,537.02,suspendisse accumsan tortor,2010,161,194
264,2,653.21,posuere metus vitae ipsum aliquam,2020,91,168
265,3,326.67,quam,1995,171,163
266,3,157.87,nisi,2008,81,60
267,5,719.33,proin eu mi,1991,22,74
268,7,142.92,felis sed,2020,114,40
269,3,548.39,libero,2009,40,89
270,5,229.1,dictumst maecenas,2011,86,38
271,2,231.39,libero,2012,48,2
272,4,434.67,ut,1994,149,76
273,2,129.13,ante vivamus tortor duis,2019,1,75
274,7,628.23,consequat dui nec nisi volutpat,2003,30,146
275,2,324.06,donec odio justo sollicitudin,2017,198,180
276,3,342.08,suscipit nulla,1995,123,196
277,3,139.74,convallis duis consequat dui nec,1990,162,129
278,2,743.29,semper,2011,77,199
279,7,117.26,mauris morbi,2006,66,84
280,5,143.76,sit amet consectetuer,2014,55,112
281,4,176.77,nisl aenean,2012,52,116
282,4,283.39,praesent id massa id,2008,5,195
283,5,491.46,nisi at nibh,1999,29,114
284,3,322.58,suspendisse,2004,110,55
285,7,289.91,congue risus semper,1994,45,53
286,7,384.79,fusce congue diam id ornare,1997,38,54
287,1,422.33,sit amet justo,2001,143,198
288,6,273.34,non,2022,148,158
289,2,168.68,tincidunt lacus at velit vivamus,2009,118,109
290,2,573.65,leo odio porttitor,2005,78,62
291,2,791.09,posuere cubilia,2000,35,35
292,5,625.79,porttitor lorem id ligula suspendisse,2001,25,76
293,5,214.78,lacus,2004,48,100
294,6,666.33,ultrices posuere,1998,93,175
295,6,745.75,interdum venenatis turpis,2016,193,117
296,5,172.24,ante ipsum,2004,132,192
297,6,423.11,curabitur in libero,2017,1,100
298,4,606.43,in,2019,30,113
299,7,685.66,eu sapien cursus vestibulum,2013,91,5
300,7,527.66,integer aliquet massa id,2021,94,167
301,2,381.3,dictumst maecenas,1996,171,95
302,5,675.82,mus vivamus vestibulum,2022,175,116
303,3,660.17,imperdiet sapien urna pretium nisl,1996,41,164
304,1,185.6,proin at,1990,200,182
305,2,266.41,nunc,2009,23,85
306,1,161.64,in lacus curabitur at ipsum,2010,199,165
307,7,284.54,in blandit ultrices,1998,54,147
308,1,460.33,nec nisi,1991,154,152
309,6,731.24,ullamcorper,2002,30,131
310,3,622.07,magna bibendum imperdiet nullam,2018,67,124
311,2,618.61,accumsan tellus nisi,2004,82,152
312,2,577.8,massa tempor,1994,77,129
313,1,267.03,diam cras,2012,22,137
314,4,451.64,vestibulum ante ipsum primis in,2007,121,26
315,6,176.11,sapien in sapien,2008,97,129
316,6,118.9,posuere cubilia curae duis,2000,192,114
317,5,128.9,lectus vestibulum quam sapien,2018,121,70
318,3,237.66,at,2008,15,122
319,4,708.17,non mauris morbi non lectus,2019,150,3
320,6,376.45,in quis justo maecenas,2010,131,145
321,6,249.0,nisl duis bibendum,1997,162,24
322,3,598.23,id,2008,11,123
323,3,210.34,turpis nec euismod scelerisque,1999,61,42
324,6,204.68,id pretium,2004,3,86
325,4,517.18,felis ut at,2000,169,131
326,1,788.17,ut nunc vestibulum ante ipsum,1998,195,131
327,6,221.11,fusce lacus purus aliquet at,2000,24,48
328,4,327.98,eu est congue,2015,86,54
329,7,291.16,luctus cum,1997,135,155
330,5,528.44,augue vestibulum rutrum,1999,181,53
331,5,711.17,vel augue vestibulum,2018,8,118
332,3,673.8,pede,2013,161,151
333,7,219.45,ultrices,2014,139,131
334,6,698.05,vel dapibus at diam,2000,34,89
335,3,355.06,lacinia eget,2006,36,143
336,4,770.28,pharetra magna vestibulum aliquet,2009,120,127
337,5,476.2,iaculis,2013,63,155
338,6,531.74,purus phasellus in,2022,122,195
339,1,701.3,tincidunt eu,1993,157,11
340,5,439.48,vel,1990,68,100
341,7,578.85,dapibus at diam nam tristique,2005,2,149
342,1,159.61,duis,1994,154,150
343,1,194.87,ullamcorper purus sit,2020,126,91
344,4,704.9,mollis molestie,2007,157,108
345,6,693.73,phasellus sit amet erat nulla,1994,44,115
346,2,336.84,eu massa,2017,25,25
347,4,746.65,vel,2021,147,10
348,1,297.15,dolor morbi vel lectus in,1993,143,66
349,2,720.61,dapibus,1999,172,137
350,2,556.77,justo etiam pretium,1999,95,17
351,2,472.73,lacinia sapien quis libero,2013,198,60
352,3,249.77,sagittis nam congue risus,2021,3,70
353,1,736.65,et magnis dis,2001,104,180
354,2,168.92,nulla mollis molestie,2000,196,86
355,6,323.66,nulla sed,1991,14,187
356,3,687.11,vitae quam,2014,88,171
357,5,482.77,nulla eget eros elementum pellentesque,2014,165,186
358,4,683.3,iaculis diam erat fermentum justo,2018,14,2
359,5,334.82,tellus semper interdum,2017,165,82
360,2,763.12,odio cras,2021,99,9
361,6,220.71,cubilia curae,2015,188,82
362,5,175.56,quis libero nullam sit amet,2017,101,119
363,5,192.69,mattis nibh ligula nec sem,2022,131,180
364,6,705.25,diam id ornare,2007,127,41
365,2,149.15,pulvinar nulla pede ullamcorper,1995,106,167
366,4,741.64,montes nascetur,2003,5,39
367,3,276.63,ut dolor morbi,1996,126,44
368,7,416.19,condimentum curabitur in libero ut,1997,26,123
369,5,370.86,vel ipsum praesent blandit,2006,85,40
370,4,705.39,lacus morbi sem mauris laoreet,2013,42,92
371,7,679.29,eros suspendisse accumsan,2015,166,182
372,2,632.68,montes,2013,47,118
373,5,677.05,vestibulum velit,2018,140,109
374,3,406.8,in,2022,199,83
375,5,719.69,imperdiet,1998,126,66
376,6,192.52,scelerisque mauris sit,2003,85,80
377,6,265.15,ut nunc vestibulum ante,2007,113,8
378,2,301.62,vel pede,2000,171,51
379,1,275.16,pede justo,2017,127,50
380,3,303.23,in blandit ultrices enim,2001,29,166
381,6,491.19,sem praesent id massa id,2021,41,25
382,7,718.44,mattis nibh,1992,146,151
383,5,195.16,morbi odio odio elementum eu,2012,4,21
384,5,366.4,duis mattis,2003,6,166
385,4,632.9,morbi ut odio cras mi,1990,20,40
386,2,541.08,ligula in lacus,2022,17,59
387,5,354.08,eget semper rutrum nulla,2007,81,102
388,6,120.85,velit,2004,112,167
389,6,219.27,quam sollicitudin vitae consectetuer eget,2020,151,61
390,5,178.8,vivamus metus arcu adipiscing molestie,2003,72,98
391,6,172.31,morbi odio odio elementum,1992,153,184
392,1,757.23,vel nisl,2019,138,107
393,2,709.09,primis in,2005,97,193
394,6,338.97,mi integer ac,2014,163,29
395,1,489.06,mi sit amet,1994,102,143
396,1,406.27,congue vivamus metus,2021,57,41
397,3,791.15,vestibulum proin,2019,179,67
398,4,595.82,justo morbi,2019,53,116
399,6,414.78,lacinia,2011,113,67
400,7,300.23,quis tortor,2021,163,188
401,6,150.55,eros vestibulum,2001,88,105
402,3,385.33,et,2003,75,200
403,4,128.79,ipsum,2003,61,143
404,1,120.97,amet eros,2018,183,147
405,3,282.96,in sapien,2010,192,129
406,2,216.25,dis parturient montes,2022,175,110
407,3,197.11,vitae mattis,2019,141,156
408,2,113.98,vel sem sed sagittis,2007,151,197
409,5,186.93,consectetuer eget rutrum at,2018,15,60
410,1,292.51,tortor id nulla ultrices,2021,57,122
411,4,638.19,integer pede justo,2006,129,50
412,7,125.26,proin interdum mauris non,1993,53,42
413,5,597.83,adipiscing elit proin,1999,80,20
414,2,514.22,lorem ipsum dolor sit,2005,112,77
415,4,600.11,luctus nec molestie sed justo,2006,71,108
416,4,567.73,eget congue eget semper,1990,200,146
417,6,539.35,quam nec dui luctus,1997,125,142
418,4,225.06,sem sed sagittis,2020,16,107
419,3,467.01,ultrices enim lorem,2013,85,199
420,5,641.22,tempus,2003,88,173
421,7,578.96,morbi ut,2003,170,67
422,2,114.15,tortor sollicitudin mi sit,1997,108,72
423,7,608.27,augue aliquam erat,2006,121,86
424,3,757.44,mollis molestie,2000,181,137
425,1,389.76,semper porta,1991,160,186
426,6,386.52,velit donec diam neque vestibulum,2009,81,41
427,3,560.65,risus praesent lectus vestibulum,1993,22,71
428,3,566.18,mus vivamus,2014,99,163
429,4,158.73,pharetra,2017,83,65
430,4,581.8,velit id pretium,2006,26,38
431,7,369.35,posuere felis sed lacus,2005,113,126
432,5,329.16,morbi ut,1994,125,82
433,2,338.58,nisl,2015,83,113
434,5,258.67,proin leo odio,1992,2,10
435,1,368.46,posuere cubilia curae donec pharetra,1996,149,74
436,4,201.56,et commodo vulputate,2004,181,47
437,3,153.91,consectetuer eget rutrum at,2020,95,106
438,5,289.41,est quam pharetra,1990,169,114
439,2,170.14,eget eleifend,2003,164,129
440,6,295.73,nulla elit ac nulla,1992,105,196
441,7,394.0,vestibulum sed,1993,51,146
442,3,709.7,dis parturient montes,2005,76,48
443,2,550.99,nulla pede ullamcorper,1998,51,18
444,4,791.55,morbi ut,2008,59,119
445,1,593.46,consequat nulla,2020,57,76
446,5,750.07,pellentesque ultrices phasellus id,2013,137,112
447,2,362.38,metus arcu,1996,116,174
448,1,288.05,at velit vivamus,2005,112,88
449,5,455.38,curabitur convallis duis consequat dui,2007,79,198
450,7,780.65,pulvinar lobortis est,2017,111,186
451,6,679.25,mauris,2013,12,153
452,6,633.37,commodo vulputate,2003,152,73
453,3,558.5,purus sit amet nulla,1998,90,144
454,2,294.75,nulla pede ullamcorper augue,1990,11,124
455,2,769.93,justo etiam pretium iaculis justo,1993,41,41
456,7,500.79,orci,2009,175,78
457,4,768.56,ante ipsum primis in faucibus,2022,129,110
458,5,206.88,sagittis nam congue,1992,17,175
459,2,148.61,mauris ullamcorper,1994,151,164
460,6,409.0,ut suscipit a feugiat et,2014,188,130
461,1,718.27,ac lobortis,2022,155,117
462,2,725.13,magna vulputate luctus cum,1993,4,53
463,5,714.73,quisque id,2018,45,25
464,3,551.74,viverra diam vitae,2003,193,128
465,1,630.62,ultrices enim,2015,151,157
466,1,511.81,in hac habitasse platea,1990,10,155
467,6,127.19,varius integer ac leo pellentesque,2009,195,110
468,1,776.37,tempus,2007,185,161
469,3,261.8,rutrum neque aenean auctor gravida,1996,2,102
470,5,468.42,velit,2003,162,127
471,6,229.85,vel,2010,173,73
472,3,307.68,et magnis,2007,140,109
473,4,113.62,ligula sit amet,1996,97,138
474,2,401.64,rutrum nulla nunc,2011,123,92
475,1,225.95,ipsum primis,2007,141,50
476,2,335.29,ac neque duis bibendum morbi,2005,155,25
477,4,569.46,elementum in hac,2009,42,4
478,3,746.98,morbi porttitor lorem id ligula,2000,154,87
479,3,455.06,vel nulla eget,2018,176,22
480,3,125.97,faucibus orci,1993,112,6
481,4,613.04,ut erat,2008,79,81
482,2,694.0,diam erat fermentum justo,2005,88,112
483,7,158.57,eget rutrum at lorem integer,1990,123,128
484,5,303.87,tellus nisi eu,1990,169,170
485,1,768.46,eget massa tempor convallis,2022,15,47
486,1,272.35,nibh fusce lacus purus,2002,182,158
487,4,264.7,id ornare,1997,174,98
488,6,359.08,nunc proin at turpis a,2019,146,68
489,7,655.37,maecenas,1998,97,155
490,7,490.25,pede,2014,32,98
491,7,245.49,feugiat non pretium,2004,46,122
492,2,295.41,elementum,2000,52,130
493,6,322.47,urna ut,2020,184,167
494,6,647.56,venenatis turpis enim blandit,2020,96,113
495,5,339.22,at diam,2015,192,107
496,5,379.79,tempus vivamus in,2008,192,151
497,5,680.13,facilisi cras non velit nec,2009,94,40
498,2,776.09,ut,1993,164,73
499,5,254.32,justo,2002,122,134
500,1,788.35,vulputate nonummy maecenas,2013,122,1
501,3,624.08,nam ultrices libero,2005,169,42
502,6,741.61,proin risus praesent,1991,93,82
503,4,567.99,varius ut blandit non,1990,130,106
504,5,724.89,proin,2011,71,93
505,5,347.36,non mi integer,1996,33,176
506,5,314.95,nisl duis,2018,176,44
507,3,471.09,nisl,2000,87,98
508,1,328.96,sit amet justo morbi ut,2021,31,174
509,6,453.94,pede,1997,9,33
510,2,660.8,quis lectus suspendisse potenti in,1996,140,152
511,1,653.0,at feugiat,2018,133,41
512,7,784.55,eu nibh quisque,1991,99,64
513,7,645.22,rhoncus dui vel,2013,47,127
514,5,363.94,amet nunc viverra dapibus,1997,57,172
515,1,179.52,dapibus duis at velit eu,2015,71,152
516,6,285.63,at nibh in hac,2003,138,133
517,3,267.25,eget orci vehicula condimentum curabitur,2016,179,174
518,5,442.16,rhoncus sed,2016,155,38
519,5,436.0,leo pellentesque,2000,137,24
520,6,235.17,proin at turpis,2018,165,103
521,3,470.73,ac consequat metus sapien ut,2005,54,171
522,1,483.9,pede morbi porttitor,2014,40,143
523,3,188.12,justo eu,1996,57,154
524,2,475.39,dolor morbi vel,2014,150,72
525,6,733.12,accumsan tellus nisi eu,2018,157,16
526,7,347.14,quis turpis sed ante,2021,116,8
527,4,194.71,luctus,1994,12,182
528,1,207.27,erat eros viverra eget congue,2020,82,148
529,5,354.85,morbi odio odio elementum,2012,159,160
530,2,741.65,sapien placerat ante,2008,195,174
531,1,687.25,mauris enim,1995,32,147
532,4,760.82,nulla pede ullamcorper,2021,152,129
533,1,508.68,nulla pede ullamcorper augue a,2008,76,115
534,4,276.08,in imperdiet,2017,94,166
535,1,576.36,vestibulum,2016,133,147
536,4,164.31,vulputate,2012,101,81
537,5,496.05,sed,2002,13,92
538,4,351.46,cubilia,2004,75,124
539,4,570.97,magnis dis parturient,2020,41,25
540,2,358.46,diam in magna bibendum,2006,106,120
541,5,403.13,ipsum,2017,37,77
542,5,550.12,sit amet diam in magna,2002,27,121
543,7,539.49,elit,1995,79,160
544,4,750.13,vestibulum velit id,2018,36,160
545,4,394.26,velit id pretium iaculis,2019,82,122
546,6,795.15,vestibulum,2003,174,121
547,2,455.17,quam suspendisse potenti nullam,2001,9,161
548,5,253.51,neque libero convallis,1994,40,91
549,1,206.02,ut blandit non interdum in,1997,192,135
550,4,702.46,dui maecenas tristique est et,2012,173,65
551,3,560.03,enim blandit mi in,2021,153,16
552,1,560.79,in quam,2006,81,7
553,4,696.77,massa volutpat convallis,2006,82,95
554,6,790.12,mauris ullamcorper,2008,189,15
555,7,419.02,rutrum,2018,68,57
556,7,711.58,libero,2006,169,20
557,6,461.14,ac lobortis,2022,168,35
558,7,617.66,dapibus dolor,1992,61,9
559,6,391.03,cras mi,2019,38,187
560,3,494.97,a nibh in,1991,60,151
561,3,723.6,odio,2022,15,100
562,3,670.31,nullam,2021,2,4
563,2,122.47,at,2007,9,39
564,5,227.21,purus aliquet at feugiat,1990,164,165
565,7,376.25,neque aenean auctor gravida sem,2001,167,197
566,2,763.35,vel,2021,85,14
567,4,193.86,nam nulla integer pede,1999,180,148
568,3,722.99,orci vehicula condimentum,1990,42,111
569,4,288.69,praesent blandit lacinia erat vestibulum,2008,104,37
570,6,297.73,rutrum at lorem integer tincidunt,2007,145,167
571,7,330.97,facilisi cras,2010,137,96
572,5,780.87,eleifend donec ut dolor,2009,122,76
573,6,273.48,vitae,2007,67,7
574,1,217.64,ut massa volutpat convallis morbi,2002,12,168
575,6,545.68,purus eu magna,2015,12,77
576,1,468.44,duis aliquam,2004,136,139
577,1,421.13,in,2013,80,135
578,3,560.38,vestibulum,1990,193,82
579,6,170.58,mauris,1996,153,9
580,2,551.87,montes nascetur ridiculus,2019,165,75
581,1,125.9,consequat dui nec nisi,2008,65,20
